University name
1,Staffordshire University
"2"," Swansea University"
"3","JSS Academy of Technical Educations"
"4","weatherhead high school"
"5","Winston Churchill School"
"6","Woking College"
"7","University of East Anglia"
"8","Alton College"
"9","University of Portsmouth"
"10","Nuneaton University"
"11","Anna University"
"12","University of Mumbai"
"13","1 MDSS/SGSLM/Langley AFB Advanced Education in General Dentistry 12 Months"
"14","10th Medical Group/SGFL/USAF Academy Advanced Education in General Dentistry 12 Months"
"15","11th Medical Group/Bolling AFB-Dental Squadron Advanced Education in General Dentistry 12 Months"
"16","1st Dental Battalion/Camp Pendleton-Dental Center Advanced Education in General Dentistry 12 Months"
"17","21st Century Oncology, Inc. School for Radiation Therapy Technology"
"18","2nd Dental Battalion Naval Dental Clinic/Le Jeune Advanced Education in General Dentistry 12 Months"
"19","2nd Medical Group/Barksdale AFB - Dental Squadron Advanced Education in General Dentistry 12 Months"
"20","360 Degrees Beauty Academy"
"21","375th Medical Group/SGDDT/Scott AFB Advanced Education in General Dentistry 12 Months"
"22","3rd Dental Squadron, Elmendorf AFB Advanced Education in General Dentistry 12 Months"
"23","4-States Academy of Cosmetology"
"24","4-States Okmulgees Academy of Cosmetology"
"25","4Cs The Center for Child Care Careers"
"26","55th Dental Squadron/SGD/Offutt AFB Advanced Education in General Dentistry 12 Months"
"27","60th Medical Group/Travis AFB"
"28","60th Medical Group/Travis AFB Advanced Education in General Dentistry 12 Months"
"29","82nd Medical Group/Sheppard AFB-Dental Squadron Advanced Education in General Dentistry 12 Months"
"30","931 Skin Care and Beauty Academy, Inc."
"31","96th Medical Group/SGD/Eglin AFB Advanced Education in General Dentistry 12 Months"
"32","A & W Health Care Educators"
"33","A and B Training Academy"
"34","A Better Tomorrow Services Health Training"
"35","A Better U Beauty Barber Academy"
"36","A Gathering Place Wellness Education Center"
"37","A New Beginning School of Massage"
"38","A-Technical College"
"39","A. I. Prince Technical High School"
"40","A.B.I School of Barbering and Cosmetology of Chelsea"
"41","A.I. Prince Technical High School"
"42","A.T. Still University of Health Sciences"
"43","A.T. Still University of Health Sciences Arizona School of Dentistry and Oral Health Predoctoral Internship"
"44","A1 Business and Technical College"
"45","Aaniiih Nakoda College"
"46","Aaron's Academy of Beauty"
"47","ABA Language Institute"
"48","Abbott Academy of Cosmetology Arts and Sciences"
"49","ABC Adult School"
